 id    sex    sctyp    civics    motiv    locus    concept   read    write    math    science
  1     2       1       40.6      0.67     0.29      0.88    33.6     43.7    40.2      39.0
  2     1       1       45.6      0.33    -0.42      0.03    46.9     35.9    41.9      36.3
  6     1       1       35.6      0.00     0.46      0.03    49.5     46.3    46.2      41.7
  7     1       1       55.6      0.33     0.44     -0.47    62.7     64.5    48.0      63.4
  8     2       1       55.6      1.00     0.68      0.25    44.2     51.5    36.9      49.8
  9     1       1       55.6      0.33     0.06      0.56    46.9     41.1    45.3      47.1
 13     1       1       30.6      0.00    -1.10      0.03    46.9     40.4    42.8      45.0
 15     1       1       40.6      1.00    -1.28      1.19    41.6     41.1    45.9      44.4
 16     2       1       40.6      1.00     0.06      0.03    46.9     41.1    46.2      39.6
 21     1       1       45.6      0.33    -0.44     -0.84    46.9     46.3    45.9      37.9
 22     2       1       48.1      0.33    -0.43      0.13    38.9     44.3    51.6      43.9
 24     2       1       45.6      0.33     0.73     -1.42    38.9     41.1    41.0      36.3
 25     1       1       50.6      0.33     0.26      0.03    48.4     48.9    52.2      43.9
 26     2       1       45.6      0.67     1.12     -0.74    31.0     41.1    36.0      36.9
 27     2       1       65.5      1.00     0.46      0.59    52.1     62.5    53.6      56.3
 28     2       1       60.5      0.67    -0.60     -0.47    46.9     54.1    49.0      52.6
 29     2       1       40.6      0.67    -0.90      0.03    36.3     44.3    36.1      33.6
 30     2       1       50.6      1.00     0.31      1.19    46.9     44.3    41.9      39.0
 31     1       1       35.6      0.00    -0.21     -1.38    34.2     46.3    44.5      39.0
 32     2       1       45.6      1.00     0.69      0.34    52.1     56.7    53.4      60.7
 35     1       1       41.9      1.00     0.30      0.56    44.2     33.3    37.7      30.9
 37     2       1       60.5      0.00    -1.05     -1.65    46.9     46.3    38.6      47.1
 45     1       1       30.6      1.00     1.16      0.32    60.1     54.1    48.6      58.0
 53     2       1       30.6      0.33     0.47     -0.09    33.6     33.9    38.8      39.6
 56     1       1       40.6      0.33    -0.84     -1.09    41.6     41.7    45.1      36.3
 58     1       1       60.5      0.00    -0.68     -0.26    60.1     51.5    56.8      60.7
 59     2       1       55.6      1.00    -0.60      0.32    38.9     56.7    41.2      33.6
 61     1       1       45.6      1.00    -0.04      0.65    44.2     44.3    61.1      49.8
 64     1       1       45.6      0.33    -0.44      0.03    41.6     38.5    38.7      56.3
 68     1       1       35.6      0.67     0.45      0.03    41.6     25.5    44.3      36.3
 70     1       1       45.6      0.67     0.06      0.44    52.1     61.9    66.3      47.1
 71     2       1       50.6      1.00     0.06      0.28    44.2     54.1    47.1      58.0
 72     1       1       50.6      1.00     0.91      0.34    52.1     54.1    58.1      55.8
 73     2       1       35.6      0.33    -1.09      0.03    46.9     43.7    41.9      41.7
 76     2       1       50.6      1.00     0.11     -1.42    60.1     59.3    62.1      60.7
 77     1       1       55.6      0.67     0.89      0.32    46.9     44.3    48.7      53.1
 79     1       1       55.6      1.00     0.46     -0.30    53.2     60.6    61.2      56.9
 83     1       1       35.6      1.00     0.06      0.94    52.1     51.5    57.9      60.7
 91     2       2       55.6      1.00    -0.40     -0.47    54.8     59.3    51.8      41.7
 92     2       1       55.6      0.67     0.06     -0.29    49.5     56.7    68.1      49.8
 94     2       1       55.6      0.00    -0.35     -0.89    49.5     67.1    66.4      66.1
 95     2       1       56.8      0.00     0.30     -1.09    51.1     56.7    55.3      47.7
 98     1       1       50.6      0.33     0.00      0.15    73.3     64.5    75.5      60.7
100     2       2       65.5      0.33     0.42     -0.47    73.3     61.2    57.4      54.7
101     1       2       45.6      0.00    -0.67     -0.47    44.2     48.9    43.1      55.3
103     2       2       50.6      0.00     0.06      0.32    60.1     54.1    49.9      49.8
104     1       2       65.5      1.00     0.26      0.88    65.4     59.3    62.3      60.7
105     2       2       70.5      1.00     0.46      0.34    57.4     54.1    59.6      60.7
106     2       1       50.6      1.00    -0.89     -1.23    44.2     48.9    43.8      35.2
107     2       1       35.6      0.00     0.57     -2.62    38.9     28.1    38.4      44.4
110     1       1       45.6      0.67     0.93     -1.63    38.9     41.1    40.3      34.1
112     1       1       55.6      1.00     0.03      0.32    44.7     56.7    50.3      30.9
114     1       1       40.6      1.00     0.24     -0.35    30.5     35.9    36.9      33.6
116     2       1       60.5      1.00     0.27      0.34    49.5     48.9    48.0      41.7
117     2       1       40.6      1.00    -1.34      1.19    44.2     41.1    44.2      44.4
119     2       1       56.8      1.00     0.28      1.19    56.4     59.3    38.5      55.3
120     2       1       36.9      0.67    -1.33     -0.26    38.4     37.2    33.4      30.9
123     2       1       65.5      0.33     1.11     -1.05    70.7     67.1    63.0      63.4
124     2       1       55.6      0.67     0.22     -0.76    45.8     52.1    54.9      44.4
125     2       1       45.6      0.67     0.75     -0.72    42.6     46.3    41.2      28.2
127     2       1       45.6      0.00    -0.49      0.03    46.9     37.2    42.8      41.7
129     1       1       40.6      0.67    -0.38      0.34    38.9     28.1    35.3      39.0
130     2       1       45.6      0.67    -0.60      0.90    46.9     61.9    45.4      33.6
131     2       1       56.8      0.67     1.36      0.65    59.0     56.7    52.9      48.8
132     2       1       60.5      0.33    -0.24     -0.16    62.7     61.9    52.4      47.1
135     1       1       35.6      1.00    -0.60     -1.43    38.9     51.5    38.6      39.0
138     1       1       40.6      0.33     0.46      0.94    36.3     30.7    44.8      39.6
142     1       1       50.6      1.00     1.13      0.87    57.4     54.7    51.7      49.8
144     2       1       45.6      0.67    -0.04     -0.29    41.6     38.5    40.2      33.6
145     1       1       46.8      0.67     0.69      0.03    49.5     39.8    38.6      49.3
150     2       1       50.6      1.00     0.91     -0.28    60.1     67.1    56.2      37.4
151     2       1       39.4      0.67     0.75     -0.26    41.6     35.9    42.0      31.4
152     1       1       35.6      1.00    -1.14     -0.06    36.3     46.3    36.9      41.7
153     2       1       60.5      1.00     0.46      0.03    52.1     56.7    62.8      47.1
154     2       1       65.5      1.00     0.45      0.03    49.5     46.3    52.9      52.6
155     2       1       35.6      1.00    -0.54     -0.59    38.9     35.9    38.4      33.6
157     1       1       30.6      1.00    -0.38      0.56    33.6     36.5    45.7      39.0
161     2       2       45.6      1.00     0.48      0.63    54.8     48.2    58.7      51.5
162     2       2       45.6      0.33    -0.40     -1.80    50.0     45.0    42.9      41.7
165     1       1       35.6      0.33     0.46     -1.17    46.9     30.7    40.3      58.0
168     2       1       45.6      0.67    -0.69     -1.13    46.9     54.1    45.4      44.4
171     2       1       60.5      1.00     0.08      0.59    57.4     56.7    53.9      60.7
172     1       1       40.6      1.00    -1.30      0.03    54.8     41.1    40.2      44.4
174     1       1       60.5      1.00    -0.16      0.65    68.0     61.9    69.7      71.5
175     2       1       70.5      1.00     1.16      0.65    65.4     67.1    63.1      55.3
177     1       1       65.5      0.67     0.68      0.03    71.2     63.2    60.2      65.5
181     2       1       65.5      1.00     1.13      0.87    76.0     62.5    60.0      67.2
184     1       1       65.5      0.67     1.16     -0.81    65.4     64.5    48.0      63.4
185     2       1       45.6      1.00     0.45      0.56    52.1     43.7    41.9      47.1
186     1       1       45.6      0.67    -0.16     -0.53    62.7     61.9    67.0      66.1
187     2       1       50.6      0.33     0.68     -0.60    52.1     64.5    59.7      55.8
189     2       1       60.5      0.33     1.11      0.90    62.7     64.5    61.4      58.0
190     2       1       35.6      0.67    -0.41      0.03    49.5     51.5    45.1      58.0
191     1       1       65.5      1.00     0.49      0.94    54.8     56.7    63.8      60.7
192     2       1       55.6      0.67     0.67      0.03    52.1     56.7    51.1      55.3
194     1       1       65.5      0.00    -0.84      0.34    41.6     46.3    59.6      63.4
196     2       1       50.6      1.00     0.06      0.03    68.0     61.9    55.5      49.8
197     2       1       40.6      1.00    -1.15     -1.38    49.5     56.7    46.1      53.6
198     2       1       50.6      0.67     0.66     -0.47    54.8     59.3    50.6      60.7
202     1       1       65.5      0.67     1.13     -0.60    73.3     67.1    71.3      63.4
203     2       1       65.5      1.00    -0.44     -0.78    58.0     48.9    43.8      44.4
204     2       1       65.5      1.00     0.44      0.03    55.3     51.5    48.0      58.0
209     2       1       50.6      0.33    -0.63      0.44    41.6     43.7    46.8      36.3
210     2       1       65.5      1.00     0.06      0.03    54.8     59.3    46.2      47.1
215     2       1       45.6      0.67    -0.40     -0.22    52.1     38.5    36.1      44.4
217     2       1       55.6      0.67     0.00     -0.42    49.5     51.5    52.9      39.0
218     2       1       50.6      1.00     0.46      0.03    57.4     67.1    47.7      55.8
221     1       1       60.5      1.00    -0.36     -1.67    44.2     43.7    56.4      58.0
222     1       1       50.6      1.00     0.93      0.34    46.9     54.1    54.6      55.3
223     1       1       60.5      1.00     0.48      0.03    60.1     46.3    51.4      52.6
224     2       1       55.6      0.67    -1.15     -0.47    44.2     56.7    52.2      44.4
228     2       1       50.6      0.67     0.00     -0.82    54.8     67.1    63.8      49.8
233     2       1       60.5      0.67     0.06      0.03    62.7     61.9    58.8      60.7
234     2       1       50.6      1.00     0.96      0.87    57.4     64.5    48.0      47.1
235     2       1       50.6      0.67     0.20     -0.55    60.1     61.9    48.7      49.8
236     1       1       55.6      0.67     0.08      0.94    73.3     61.9    60.5      71.5
237     1       1       40.6      0.67     1.36     -0.80    52.1     59.3    59.6      59.1
238     1       1       65.5      1.00     0.46      0.94    65.4     61.9    67.9      66.1
243     2       1       51.8      0.00    -0.40      0.03    54.8     49.5    55.3      47.1
244     2       1       60.5      0.67     0.71      0.34    68.0     61.9    64.5      68.8
