 id     gpa      spatial2d   spatial3d  mech_res    arith    computat
  6     51       25          23          11         21        14
  9     40        9           9          15          7         8
 21     36        3           5           8          6        11
 24     53       18          26           7         13        10
 25     40       14          11           7         11        14
 42     59       20           5          12         24        12
 46     36       15          10           2         15        12
 50     47       27          26           8         22        10
 55     43        6           8           8         23        12
 62     50       10          12           8         28        21
 65     43       20          13           8         16        10
 67     49       21           2          11         14         9
 69     68       26          12           9         35        20
 73     36       25          14          10         16        14
 78     32       11           4          12         10        12
 80     36        6           6          16         24         7
 83     39       21          12          15         19        14
 89     43        7           6           8         17        11
 91     46       16           9          11         25        14
 95     48       14          12          12         20        14
107     46       25          12          12         22        13
113     62       20          26          11         21        12
114     50       16           6           6         13        14
120     34        5           5           4         11         8
130     46       29          24           9         15        13
134     48       17          22          15         30        21
144     59       25          19          14         31        25
172     28       11           4           9         16         6
182     30       27          27          14         22        12
184     42       23          17          12         20        10
203     42       15          13          11         25        13
208     61       19          24           8         31        19
215     50       29          20           9         30        16
217     36       13           5           7         21        11
218     56       30          28          15         35        18
221     47        4          20          12         17        17
222     53       28          10          12         22        15
229     42       29          13          15         17        12
238     47       11          15           7         28        18
240     40        5          12          13         26        19
241     38        5           8           9         10        10
247     44       20           9           4         17        12
250     50       15          10           9         19        14
253     49       12          11           6         26        16
256     46       16          15           7         23        13
258     31       18           8          11         17         6
270     21       22          11           5         24         9
271     37       20           6           8         24        13
274     38       29          16          14         24         9
278     46       30          13          17         19        11
279     45       25          20          19         24        20
287     41       25          14           8         16        12
295     31       19          14           6         21        14
297     33       10           5           5         19        13
302     37       27          17          10         24        13
303     43        4           6           7         14         6
308     24       29          20          12          9        11
314     34       21          24          12         23        14
322     47       11           5          12         17        13
328     28        5           4           9          6         5
333     41       28          12           9         21        11
337     34        4          13          11         19        12
339     31       11          10           7         23        10
342     28        6          14           4         12        17
351     41       21           6          11         11         9
360     29       19          14          11         18        11
363     33       18           7          13         20        11
366     44       13          23          13         18        11
368     32        6          12           8         13         7
371     51       23          23          20         23        12
379     54        5          18          11         21        18
383     51       28          29          13         32        15
390     53       12          14           7         25        16
395     37        6           4          11         26        14
396     32        3          15          10         21        16
399     49       12          15           7         24        19
408     37        5           6          10         15        11
415     49       15          13          10         27        14
425     45       13          18           3         23        11






