"bfi_1"	"bfi_2"	"bfi_3"	"bfi_4"	"bfi_5"	"bfi_6"	"bfi_7"	"bfi_8"	"bfi_9"	"bfi_10"	"bfi_11"	"bfi_12"	"bfi_13"	"bfi_14"	"bfi_15"	"bfi_16"	"bfi_17"	"bfi_18"	"bfi_19"	"bfi_20"	"bfi_21"	"bfi_22"	"bfi_23"	"bfi_24"	"bfi_25"	"bfi_26"	"bfi_27"	"bfi_28"	"bfi_29"	"bfi_30"	"bfi_31"	"bfi_32"	"bfi_33"	"bfi_34"	"bfi_35"	"bfi_36"	"bfi_37"	"bfi_38"	"bfi_39"	"bfi_40"	"bfi_41"	"bfi_42"	"bfi_43"	"bfi_44"	"AgainstAbortion"	"AgainstGayMarriage"	"AgainstUniversalHealthcare"	"AgainstTaxingTheRich"	"ConservativeIdeology"	"PoliticalInterest"	"Vote"	"YearOfBirth"	"Gender"	"Race"	"EducationLevel"	"IncomeLevel"	"State"
"agree strongly"	"neither agree nor disagree"	"agree strongly"	"disagree strongly "	"neither agree nor disagree"	"disagree a little"	"agree strongly"	"agree a little"	"agree strongly"	"agree strongly"	"agree strongly"	"disagree strongly "	"agree strongly"	"agree a little"	"disagree a little"	"agree strongly"	"agree a little"	"disagree strongly "	"agree a little"	"agree strongly"	"disagree strongly "	"agree a little"	"disagree strongly "	"agree strongly"	"disagree strongly "	"agree strongly"	"disagree strongly "	"agree strongly"	"disagree strongly "	"agree a little"	"agree a little"	"agree strongly"	"agree strongly"	"agree a little"	"agree strongly"	"agree strongly"	"disagree strongly "	"agree a little"	"disagree strongly "	"agree a little"	"neither agree nor disagree"	"agree strongly"	"agree a little"	"neither agree nor disagree"	"abortion should always be legal."	"strongly favor"	"gov should provide everyone with health care"	"somewhat favor"	"very liberal"	"very much interested"	"i voted for barack obama"	1962	"male"	"white"	"post-grad"	"$30,000 - $39,999"	"florida"
"agree strongly"	"disagree a little"	"agree strongly"	"disagree strongly "	"agree a little"	"disagree strongly "	"neither agree nor disagree"	"disagree strongly "	"disagree a little"	"agree a little"	"disagree a little"	"disagree strongly "	"agree strongly"	"agree a little"	"agree a little"	"agree a little"	"agree a little"	"disagree a little"	"disagree a little"	"neither agree nor disagree"	"neither agree nor disagree"	"agree a little"	"disagree a little"	"agree a little"	"agree a little"	"agree a little"	"disagree strongly "	"agree a little"	"disagree strongly "	"agree a little"	"neither agree nor disagree"	"agree a little"	"agree a little"	"neither agree nor disagree"	"neither agree nor disagree"	"agree a little"	"disagree a little"	"agree a little"	"agree a little"	"agree a little"	"disagree a little"	"agree strongly"	"neither agree nor disagree"	"agree a little"	"abortion should be legal with some restrictions."	"strongly favor"	"gov should provide everyone with health care"	"somewhat favor"	"moderate"	"somewhat interested"	"i voted for barack obama"	1938	"male"	"white"	"post-grad"	"$100,000 - $119,999"	"california"
"disagree a little"	"agree a little"	"agree a little"	"disagree strongly "	"neither agree nor disagree"	"agree strongly"	"agree a little"	"neither agree nor disagree"	"agree a little"	"agree a little"	"agree a little"	"disagree strongly "	"agree strongly"	"agree a little"	"neither agree nor disagree"	"neither agree nor disagree"	"agree a little"	"disagree strongly "	"neither agree nor disagree"	"agree a little"	"agree strongly"	"agree a little"	"disagree strongly "	"agree strongly"	"agree a little"	"disagree a little"	"agree a little"	"agree strongly"	"agree a little"	"agree strongly"	"agree a little"	"agree a little"	"agree a little"	"agree a little"	"disagree a little"	"neither agree nor disagree"	"neither agree nor disagree"	"neither agree nor disagree"	"disagree a little"	"neither agree nor disagree"	"disagree a little"	"agree a little"	"agree a little"	"agree a little"	"abortion should only be legal in special circumstances."	"strongly favor"	"gov should provide everyone with health care"	"strongly favor"	"moderate"	"somewhat interested"	"i voted for john mccain"	1948	"female"	"white"	"college graduate"	"$60,000 - $69,999"	"texas"
"disagree a little"	"disagree strongly "	"neither agree nor disagree"	"disagree strongly "	"agree strongly"	"agree a little"	"neither agree nor disagree"	"neither agree nor disagree"	"agree a little"	"disagree a little"	"agree strongly"	"agree a little"	"agree strongly"	"disagree a little"	"agree strongly"	"agree strongly"	"agree a little"	"neither agree nor disagree"	"agree a little"	"agree strongly"	"neither agree nor disagree"	"agree strongly"	"neither agree nor disagree"	"agree a little"	"agree strongly"	"agree strongly"	"agree strongly"	"agree a little"	"agree a little"	"agree strongly"	"agree a little"	"agree strongly"	"agree strongly"	"agree strongly"	"neither agree nor disagree"	"agree strongly"	"disagree a little"	"agree a little"	"neither agree nor disagree"	"agree strongly"	"agree strongly"	"agree strongly"	"agree a little"	"agree strongly"	"abortion should only be legal in special circumstances."	"somewhat favor"	"companies should be required to provide health insurance"	"strongly favor"	"very liberal"	"somewhat interested"	"i voted for john mccain"	1945	"male"	"hispanic"	"some college"	"$120,000 - $149,999"	"arizona"
"disagree a little"	"disagree a little"	"neither agree nor disagree"	"disagree strongly "	"agree a little"	"agree a little"	"agree strongly"	"agree a little"	"agree strongly"	"agree strongly"	"agree a little"	"disagree strongly "	"agree strongly"	"disagree strongly "	"agree a little"	"neither agree nor disagree"	"agree strongly"	"agree a little"	"disagree a little"	"agree a little"	"agree a little"	"neither agree nor disagree"	"agree a little"	"agree strongly"	"agree a little"	"disagree strongly "	"neither agree nor disagree"	"agree a little"	"disagree strongly "	"agree strongly"	"agree a little"	"agree strongly"	"agree a little"	"agree strongly"	"disagree strongly "	"agree a little"	"disagree strongly "	"agree strongly"	"disagree strongly "	"agree strongly"	"disagree strongly "	"agree strongly"	"neither agree nor disagree"	"agree a little"	"abortion should always be legal."	"strongly favor"	"companies should be required to provide health insurance"	"strongly favor"	"very liberal"	"very much interested"	"i voted for barack obama"	1951	"female"	"white"	"post-grad"	"$120,000 - $149,999"	"arizona"
"disagree a little"	"disagree strongly "	"agree strongly"	"agree a little"	"neither agree nor disagree"	"agree strongly"	"agree strongly"	"agree a little"	"disagree strongly "	"agree strongly"	"disagree a little"	"neither agree nor disagree"	"agree strongly"	"agree strongly"	"agree strongly"	"neither agree nor disagree"	"neither agree nor disagree"	"disagree strongly "	"agree strongly"	"agree a little"	"agree strongly"	"agree a little"	"disagree a little"	"disagree a little"	"neither agree nor disagree"	"agree a little"	"disagree a little"	"agree a little"	"agree strongly"	"neither agree nor disagree"	"agree strongly"	"agree strongly"	"agree a little"	"disagree a little"	"neither agree nor disagree"	"disagree a little"	"neither agree nor disagree"	"neither agree nor disagree"	"agree a little"	"agree a little"	"neither agree nor disagree"	"agree a little"	"disagree a little"	"disagree a little"	"abortion should be legal with some restrictions."	"strongly favor"	"gov should provide everyone with health care"	"strongly favor"	"moderate"	"very much interested"	"i voted for john mccain"	1957	"male"	"white"	"some college"	"$40,000 - $49,999"	"arizona"
"neither agree nor disagree"	"neither agree nor disagree"	"agree strongly"	"disagree a little"	"neither agree nor disagree"	"agree strongly"	"neither agree nor disagree"	"disagree a little"	"neither agree nor disagree"	"agree strongly"	"disagree a little"	"disagree strongly "	"agree strongly"	"agree strongly"	"neither agree nor disagree"	"disagree a little"	"disagree a little"	"agree a little"	"agree a little"	"agree a little"	"agree strongly"	"neither agree nor disagree"	"disagree a little"	"neither agree nor disagree"	"agree a little"	"disagree a little"	"agree a little"	"agree strongly"	"agree a little"	"agree strongly"	"agree strongly"	"neither agree nor disagree"	"agree a little"	"agree strongly"	"neither agree nor disagree"	"disagree a little"	"neither agree nor disagree"	"agree a little"	"neither agree nor disagree"	"agree a little"	"disagree strongly "	"agree a little"	"neither agree nor disagree"	"agree a little"	"abortion should be legal with some restrictions."	"somewhat favor"	"gov should provide everyone with health care"	"somewhat favor"	"moderate"	"very much interested"	"i voted for john mccain"	1947	"female"	"white"	"post-grad"	"$60,000 - $69,999"	"michigan"
"agree strongly"	"neither agree nor disagree"	"agree strongly"	"neither agree nor disagree"	"agree strongly"	"disagree strongly "	"neither agree nor disagree"	"disagree a little"	"disagree strongly "	"agree strongly"	"agree a little"	"disagree a little"	"agree strongly"	"agree a little"	"agree strongly"	"agree a little"	"neither agree nor disagree"	"disagree a little"	"neither agree nor disagree"	"agree strongly"	"disagree strongly "	"agree a little"	"disagree strongly "	"neither agree nor disagree"	"agree a little"	"agree strongly"	"disagree a little"	"agree strongly"	"neither agree nor disagree"	"agree strongly"	"disagree strongly "	"neither agree nor disagree"	"neither agree nor disagree"	"agree a little"	"disagree strongly "	"agree a little"	"disagree a little"	"neither agree nor disagree"	"agree a little"	"agree strongly"	"disagree strongly "	"agree a little"	"disagree strongly "	"agree strongly"	"abortion should be legal with some restrictions."	"strongly favor"	"gov should provide everyone with health care"	"strongly favor"	"very liberal"	"very much interested"	"i voted for barack obama"	1944	"female"	"white"	"post-grad"	"$30,000 - $39,999"	"massachusetts"
"neither agree nor disagree"	"disagree strongly "	"agree strongly"	"neither agree nor disagree"	"agree strongly"	"agree a little"	"agree a little"	"agree a little"	"agree strongly"	"agree strongly"	"agree a little"	"disagree strongly "	"agree a little"	"agree a little"	"agree strongly"	"agree a little"	"agree strongly"	"agree a little"	"neither agree nor disagree"	"agree strongly"	"agree a little"	"agree a little"	"neither agree nor disagree"	"agree strongly"	"agree strongly"	"agree a little"	"neither agree nor disagree"	"agree a little"	"neither agree nor disagree"	"agree a little"	"agree a little"	"agree strongly"	"agree a little"	"agree strongly"	"disagree a little"	"agree a little"	"neither agree nor disagree"	"neither agree nor disagree"	"disagree a little"	"agree strongly"	"disagree a little"	"agree a little"	"agree a little"	"agree a little"	"abortion should always be legal."	"strongly favor"	"gov should provide everyone with health care"	"strongly favor"	"liberal"	"very much interested"	"i voted for barack obama"	1980	"male"	"white"	"college graduate"	"$80,000 - $99,999"	"massachusetts"
"agree strongly"	"disagree a little"	"agree strongly"	"disagree strongly "	"agree a little"	"agree a little"	"agree a little"	"disagree strongly "	"neither agree nor disagree"	"agree a little"	"agree a little"	"disagree strongly "	"agree strongly"	"neither agree nor disagree"	"neither agree nor disagree"	"agree a little"	"agree a little"	"disagree strongly "	"neither agree nor disagree"	"agree strongly"	"neither agree nor disagree"	"agree strongly"	"disagree strongly "	"agree strongly"	"agree strongly"	"agree a little"	"disagree a little"	"agree strongly"	"neither agree nor disagree"	"neither agree nor disagree"	"disagree a little"	"agree strongly"	"agree strongly"	"agree a little"	"neither agree nor disagree"	"agree strongly"	"disagree strongly "	"agree strongly"	"neither agree nor disagree"	"agree a little"	"agree a little"	"agree strongly"	"disagree a little"	"neither agree nor disagree"	"abortion should be illegal. it should never be allowed."	"strongly oppose"	"health insurance should be voluntary"	"strongly favor"	"conservative"	"very much interested"	"i voted for john mccain"	1948	"male"	"white"	"some college"	"$60,000 - $69,999"	"alabama"
