"bfi_1"	"bfi_2"	"bfi_3"	"bfi_4"	"bfi_5"	"bfi_6"	"bfi_7"	"bfi_8"	"bfi_9"	"bfi_10"	"bfi_11"	"bfi_12"	"bfi_13"	"bfi_14"	"bfi_15"	"bfi_16"	"bfi_17"	"bfi_18"	"bfi_19"	"bfi_20"	"bfi_21"	"bfi_22"	"bfi_23"	"bfi_24"	"bfi_25"	"bfi_26"	"bfi_27"	"bfi_28"	"bfi_29"	"bfi_30"	"bfi_31"	"bfi_32"	"bfi_33"	"bfi_34"	"bfi_35"	"bfi_36"	"bfi_37"	"bfi_38"	"bfi_39"	"bfi_40"	"bfi_41"	"bfi_42"	"bfi_43"	"bfi_44"	"AgainstAbortion"	"AgainstGayMarriage"	"AgainstUniversalHealthcare"	"AgainstTaxingTheRich"	"ConservativeIdeology"	"PoliticalInterest"	"Vote"	"YearOfBirth"	"Gender"	"Race"	"EducationLevel"	"IncomeLevel"	"State"
5	3	5	1	3	2	5	4	5	5	5	1	5	4	2	5	4	1	4	5	1	4	1	5	1	5	1	5	1	4	4	5	5	4	5	5	1	4	1	4	3	5	4	3	1	1	1	2	1	1	1	1962	1	1	6	6	9
5	2	5	1	4	1	3	1	2	4	2	1	5	4	4	4	4	2	2	3	3	4	2	4	4	4	1	4	1	4	3	4	4	3	3	4	2	4	4	4	2	5	3	4	2	1	1	2	3	2	1	1938	1	1	6	12	5
2	4	4	1	3	5	4	3	4	4	4	1	5	4	3	3	4	1	3	4	5	4	1	5	4	2	4	5	4	5	4	4	4	4	2	3	3	3	2	3	2	4	4	4	3	1	1	1	3	2	2	1948	2	1	5	9	42
2	1	3	1	5	4	3	3	4	2	5	4	5	2	5	5	4	3	4	5	3	5	3	4	5	5	5	4	4	5	4	5	5	5	3	5	2	4	3	5	5	5	4	5	3	2	2	1	1	2	2	1945	1	3	3	13	3
2	2	3	1	4	4	5	4	5	5	4	1	5	1	4	3	5	4	2	4	4	3	4	5	4	1	3	4	1	5	4	5	4	5	1	4	1	5	1	5	1	5	3	4	1	1	2	1	1	1	1	1951	2	1	6	13	3
2	1	5	4	3	5	5	4	1	5	2	3	5	5	5	3	3	1	5	4	5	4	2	2	3	4	2	4	5	3	5	5	4	2	3	2	3	3	4	4	3	4	2	2	2	1	1	1	3	1	2	1957	1	1	3	7	3
3	3	5	2	3	5	3	2	3	5	2	1	5	5	3	2	2	4	4	4	5	3	2	3	4	2	4	5	4	5	5	3	4	5	3	2	3	4	3	4	1	4	3	4	2	2	1	2	3	1	2	1947	2	1	6	9	22
5	3	5	3	5	1	3	2	1	5	4	2	5	4	5	4	3	2	3	5	1	4	1	3	4	5	2	5	3	5	1	3	3	4	1	4	2	3	4	5	1	4	1	5	2	1	1	1	1	1	1	1944	2	1	6	6	21
3	1	5	3	5	4	4	4	5	5	4	1	4	4	5	4	5	4	3	5	4	4	3	5	5	4	3	4	3	4	4	5	4	5	2	4	3	3	2	5	2	4	4	4	1	1	1	1	2	1	1	1980	1	1	5	11	21
5	2	5	1	4	4	4	1	3	4	4	1	5	3	3	4	4	1	3	5	3	5	1	5	5	4	2	5	3	3	2	5	5	4	3	5	1	5	3	4	4	5	2	3	4	4	3	1	4	1	2	1948	1	1	3	9	1
5	1	4	1	3	3	4	3	4	4	4	1	4	1	3	3	4	2	3	4	2	4	1	4	4	3	2	4	2	3	3	4	4	5	3	4	2	3	1	3	3	4	3	2	3	4	2	3	4	1	2	1954	1	3	1	10	34
4	4	5	3	4	4	4	2	2	4	3	1	5	4	4	3	2	1	4	4	4	2	1	3	4	2	3	5	2	2	5	5	5	3	4	3	1	4	4	3	3	4	2	4	4	3	3	4	4	1	2	1967	2	1	6	8	32
3	4	5	2	4	3	4	2	4	4	4	3	4	2	3	3	4	4	2	2	3	4	3	4	4	4	2	4	3	5	3	4	4	4	3	4	3	4	3	4	1	4	5	5	4	4	3	3	5	2	2	1979	2	1	5	10	22
2	2	5	3	5	4	5	1	4	5	4	4	4	4	5	4	4	1	2	3	4	4	2	5	5	2	2	4	2	3	4	4	4	5	2	2	2	4	3	4	4	4	2	3	1	1	1	1	1	1	1	1969	1	1	5	6	36
2	1	5	1	5	5	5	4	4	5	4	1	5	4	4	4	5	1	4	5	5	5	1	5	4	2	1	5	4	5	5	5	5	4	4	2	1	5	5	5	5	5	1	4	2	1	1	2	1	2	1	1961	2	1	3	9	36
5	4	2	4	5	3	2	5	3	5	3	2	5	4	5	5	5	5	4	5	2	4	4	4	5	3	3	5	4	5	2	4	1	4	4	4	4	4	5	5	1	3	5	5	1	1	1	1	1	1	1	1965	2	1	6	8	25
3	4	4	2	5	3	4	2	4	5	5	3	4	4	5	5	4	4	2	5	4	4	2	4	4	4	3	4	3	5	4	5	5	4	3	4	3	4	2	4	1	4	2	5	1	1	1	1	3	1	1	1970	1	1	5	9	29
5	2	5	3	4	3	5	4	3	3	4	3	5	4	4	4	5	3	3	3	3	5	3	5	3	4	3	4	3	4	3	5	3	4	4	5	3	5	3	4	3	5	3	4	3	2	3	4	4	2	2	1959	2	1	6	14	45
5	1	5	5	5	5	5	5	1	5	3	2	2	5	5	3	5	5	5	5	4	4	3	1	5	4	3	2	5	5	5	5	2	5	1	2	1	1	5	5	1	2	5	5	3	1	3	4	4	1	2	1969	2	1	3	9	5
1	1	5	2	3	1	4	2	4	3	2	1	5	2	3	3	2	1	1	3	5	4	2	4	2	2	4	5	3	4	5	5	5	5	2	1	2	4	1	4	2	4	1	4	2	1	1	1	2	1	2	1940	2	1	6	8	32
5	1	3	3	4	2	5	3	1	4	3	1	5	4	4	4	5	5	5	5	2	5	4	4	4	4	2	3	4	3	4	5	3	2	2	4	2	4	3	4	3	5	2	3	1	1	1	1	3	1	1	1961	2	1	2	8	5
3	5	5	1	4	3	4	2	4	5	3	1	5	4	4	4	2	2	3	3	3	2	1	4	3	4	1	5	2	5	3	3	5	3	3	3	2	5	1	4	1	3	1	4	2	1	1	1	1	1	1	1951	2	1	6	13	32
4	1	5	3	4	2	5	2	2	5	4	2	5	3	4	4	4	3	4	4	2	3	1	5	3	4	2	5	4	4	2	5	4	3	1	3	2	3	1	5	3	2	2	3	2	2	2	2	3	2	1	1963	2	2	3	14	5
4	2	4	2	1	4	5	5	4	5	3	1	5	3	1	3	2	5	3	4	2	5	5	5	1	2	3	2	1	5	4	5	4	5	4	2	2	2	1	4	2	5	3	1	1	1	1	1	1	1	1	1952	2	1	5	6	13
2	5	5	3	5	1	4	1	3	5	4	2	5	4	5	4	5	1	4	5	5	4	3	5	5	4	4	5	5	5	4	4	5	5	2	2	4	4	2	5	1	4	2	4	1	1	1	1	2	1	1	1961	2	3	6	11	5
4	2	5	3	4	4	5	4	5	5	4	1	5	4	4	3	5	2	4	5	2	5	4	4	5	4	4	5	2	4	1	5	5	5	2	4	1	4	2	5	2	5	2	4	2	1	1	1	2	1	1	1951	1	1	3	7	41
2	1	5	1	5	3	5	4	4	4	5	1	5	5	4	5	4	2	2	4	2	5	1	4	4	4	3	4	3	2	1	5	4	4	2	4	2	4	1	4	4	4	3	1	3	3	3	4	4	1	2	1950	1	1	3	13	39
4	4	3	4	5	3	4	2	4	5	3	2	5	4	5	5	4	3	5	5	3	4	3	2	4	4	3	2	4	5	4	5	4	3	3	4	1	3	4	3	1	4	3	3	2	1	3	2	4	1	2	1949	1	1	2	9	9
5	2	5	1	4	4	5	1	4	5	5	1	5	2	5	5	5	1	1	5	1	5	1	5	5	5	1	5	1	2	4	5	5	4	4	5	1	4	1	4	4	5	1	2	3	4	3	2	5	1	2	1962	2	1	3	12	9
4	1	5	1	5	3	5	1	5	5	5	1	5	1	5	5	5	1	1	5	2	4	1	5	5	5	3	5	1	5	1	5	5	5	2	5	1	5	1	5	5	5	1	5	2	1	2	1	3	1	1	1932	2	3	6	8	42
4	4	4	2	3	2	4	2	4	5	4	2	4	3	4	4	4	1	2	4	2	4	3	5	5	5	4	4	4	4	2	3	4	4	2	5	3	4	3	4	4	3	2	2	2	2	3	4	3	1	2	1973	1	1	5	11	9
