id gender age1 age2 age3 age4 iq1 iq2 iq3 iq4
1 1 . 4.083 6.250 13.250 . 4.655 7.188 15.238
2 1 . 4.500 6.417 13.167 . 5.175 6.995 15.405
3 1 . 3.667 6.667 12.583 . 3.997 7.534 13.338
4 1 . 4.667 7.917 13.833 . 5.647 11.005 18.260
5 1 . 3.333 6.250 12.250 . 3.833 7.063 12.128
6 1 . 3.750 6.167 13.250 . 3.825 6.845 17.490
7 1 . 3.667 6.667 12.833 . 4.327 8.334 14.758
8 1 . 4.417 6.583 13.667 . 5.521 7.505 14.487
9 1 . 4.250 6.750 13.667 . 3.655 7.020 15.307
10 1 . 4.750 7.667 14.083 . 5.178 7.360 14.083
11 1 . 4.500 6.583 13.583 . 4.815 6.978 15.349
12 1 . 2.000 5.250 11.500 . 2.240 6.510 15.180
13 1 . 3.333 6.250 12.417 . 4.000 6.813 14.652
14 1 . 4.000 6.333 13.417 . 4.320 7.916 18.918
15 1 . 3.833 5.833 12.667 . 4.485 6.650 14.440
16 1 5.583 7.083 10.417 16.333 6.979 9.491 13.125 21.070
17 1 . 4.167 6.250 13.167 . 5.334 9.250 19.092
18 1 . 4.250 6.667 13.750 . 4.335 7.467 16.225
19 1 . 3.667 6.583 12.833 . 3.667 8.426 15.400
20 1 . 3.833 6.000 13.000 . 4.331 6.840 14.690
21 1 3.083 5.583 10.583 16.167 3.669 5.639 10.795 17.137
22 1 3.583 5.583 8.833 15.000 3.655 5.974 9.981 19.500
23 1 3.250 6.333 8.833 15.583 3.218 6.333 9.098 14.648
24 1 3.250 5.167 8.500 14.417 3.835 5.839 10.370 17.733
25 1 . 4.083 6.500 13.500 . 5.349 8.190 18.765
26 1 . 2.667 5.583 11.583 . 3.467 6.420 12.857
27 1 3.500 5.250 8.250 14.250 4.655 6.353 9.488 16.815
28 1 . 4.333 6.500 13.500 . 3.770 6.695 16.335
29 1 . 3.750 6.667 12.833 . 4.350 8.334 15.656
30 1 . 4.917 6.417 12.417 . 4.671 6.738 13.162
31 1 . 4.750 8.167 14.083 . 4.513 7.514 14.646
